                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.45082,                0.35739,                0.87303,                0.98593,                0.99143,                0.98561,                0.91292,                0.36549,                0.26582,                0.82741,             0.00050254,             0.00050254,             0.00050254
                     37,                0.45602,                0.35785,                0.87139,                0.98489,                0.98945,                0.98534,                0.92106,                0.37056,                0.25842,                0.82126,             0.00049493,             0.00049493,             0.00049493
                     38,                0.44364,                 0.3531,                0.86751,                 0.9862,                0.98835,                0.98552,                0.91145,                0.37544,                0.26928,                0.82328,             0.00048732,             0.00048732,             0.00048732
                     39,                0.44819,                0.35035,                 0.8713,                0.98011,                0.98769,                0.98497,                0.91674,                0.36322,                0.25221,                0.82129,              0.0004797,              0.0004797,              0.0004797
                     40,                0.44088,                0.34164,                0.86718,                0.98409,                0.98939,                 0.9849,                 0.9164,                0.37192,                0.26409,                0.82468,             0.00047209,             0.00047209,             0.00047209
                     41,                0.43404,                0.33528,                 0.8635,                0.98341,                0.98944,                0.98469,                0.91034,                0.38076,                0.26069,                 0.8305,             0.00046448,             0.00046448,             0.00046448
                     42,                  0.438,                0.33934,                0.86453,                0.98462,                0.99013,                0.98665,                0.92432,                0.35399,                0.24314,                0.82208,             0.00045686,             0.00045686,             0.00045686
                     43,                0.42451,                0.33493,                0.85976,                0.98317,                0.98817,                0.98649,                0.92316,                0.35893,                0.25334,                0.82069,             0.00044925,             0.00044925,             0.00044925
                     44,                0.43775,                0.34585,                0.87093,                0.97982,                0.98747,                0.98635,                0.92209,                0.36287,                0.25249,                0.82234,             0.00044164,             0.00044164,             0.00044164
                     45,                0.42791,                0.33321,                0.86096,                0.98232,                0.99011,                0.98557,                0.91645,                0.36463,                0.25303,                0.82021,             0.00043402,             0.00043402,             0.00043402
                     46,                0.42294,                0.32379,                0.86157,                 0.9849,                0.98882,                0.98596,                0.92377,                0.35791,                0.24832,                0.81802,             0.00042641,             0.00042641,             0.00042641
                     47,                0.42923,                 0.3373,                0.85971,                0.97936,                0.99184,                 0.9856,                0.92083,                0.35306,                0.24368,                0.81886,              0.0004188,              0.0004188,              0.0004188
                     48,                0.41994,                0.32777,                0.86301,                0.98408,                 0.9884,                0.98541,                0.91919,                0.35827,                0.24788,                0.82022,             0.00041118,             0.00041118,             0.00041118
                     49,                0.43092,                0.33225,                0.86633,                0.97735,                0.99126,                0.98491,                0.91986,                0.36155,                0.25221,                0.81886,             0.00040357,             0.00040357,             0.00040357
                     50,                0.41247,                0.31493,                0.85874,                0.98353,                0.98761,                0.98555,                0.92534,                0.34892,                 0.2411,                 0.8156,             0.00039596,             0.00039596,             0.00039596
                     51,                0.41799,                0.32094,                0.85938,                0.98496,                0.98785,                0.98479,                0.92449,                0.35733,                0.24526,                0.81967,             0.00038835,             0.00038835,             0.00038835
                     52,                0.41922,                0.31632,                0.86183,                0.98051,                0.98927,                0.98497,                 0.9291,                0.34719,                0.23964,                0.81661,             0.00038073,             0.00038073,             0.00038073
                     53,                0.42028,                0.32467,                0.86418,                0.98103,                0.98922,                0.98512,                0.92026,                0.35398,                0.23824,                0.81742,             0.00037312,             0.00037312,             0.00037312
                     54,                0.40961,                0.31152,                0.85415,                0.98274,                0.98845,                0.98604,                0.92372,                0.34807,                0.23645,                0.81643,             0.00036551,             0.00036551,             0.00036551
                     55,                0.40184,                 0.3112,                0.85665,                0.98199,                0.98889,                0.98567,                 0.9233,                0.34834,                0.23632,                0.81727,             0.00035789,             0.00035789,             0.00035789
                     56,                0.41199,                 0.3211,                0.85623,                0.98303,                0.99035,                0.98595,                 0.9294,                0.33847,                0.23374,                0.81179,             0.00035028,             0.00035028,             0.00035028
                     57,                0.41359,                0.30582,                0.86139,                0.98168,                0.99154,                0.98641,                0.93158,                0.33978,                0.22813,                0.81289,             0.00034267,             0.00034267,             0.00034267
                     58,                0.40698,                0.30423,                0.85792,                0.98473,                0.99004,                0.98634,                 0.9282,                0.34436,                0.23141,                0.81304,             0.00033505,             0.00033505,             0.00033505
                     59,                0.39959,                 0.3024,                0.85566,                0.98193,                0.98941,                 0.9856,                0.93166,                0.34116,                0.22837,                0.81365,             0.00032744,             0.00032744,             0.00032744
                     60,                0.40289,                0.30228,                0.85368,                0.98163,                0.98928,                0.98552,                0.93023,                0.33713,                0.23084,                0.81084,             0.00031983,             0.00031983,             0.00031983
                     61,                0.39948,                0.29743,                0.85101,                0.98333,                  0.989,                0.98493,                0.92601,                0.34299,                0.23225,                0.81539,             0.00031221,             0.00031221,             0.00031221
                     62,                 0.3899,                0.29214,                0.84654,                0.98299,                0.98704,                0.98565,                0.92727,                0.33771,                0.22663,                0.81328,              0.0003046,              0.0003046,              0.0003046
                     63,                0.40114,                 0.3055,                0.85622,                0.98565,                0.98582,                 0.9855,                0.93089,                0.33292,                0.22927,                0.81186,             0.00029699,             0.00029699,             0.00029699
                     64,                0.39694,                0.29963,                0.85514,                0.98471,                 0.9871,                0.98556,                0.93224,                0.33075,                0.22655,                0.81012,             0.00028937,             0.00028937,             0.00028937
                     65,                0.39009,                0.28755,                0.84381,                0.98412,                0.98925,                0.98529,                0.93208,                 0.3374,                0.22826,                0.81198,             0.00028176,             0.00028176,             0.00028176
                     66,                0.39266,                0.29144,                0.85074,                 0.9852,                0.98815,                0.98609,                0.93349,                0.32845,                 0.2237,                0.80911,             0.00027415,             0.00027415,             0.00027415
                     67,                  0.387,                 0.2867,                0.84808,                0.98467,                0.99053,                 0.9849,                0.93332,                0.33155,                0.22442,                0.81038,             0.00026654,             0.00026654,             0.00026654
                     68,                0.38736,                0.28713,                0.85178,                0.98527,                0.98724,                0.98487,                0.93263,                0.33162,                0.22494,                0.80981,             0.00025892,             0.00025892,             0.00025892
                     69,                0.38296,                0.28353,                0.84765,                0.98483,                0.98696,                0.98489,                0.93467,                0.33058,                0.22188,                0.80854,             0.00025131,             0.00025131,             0.00025131
                     70,                  0.378,                0.27869,                0.84853,                0.98245,                 0.9898,                0.98481,                0.93399,                0.32976,                0.22266,                 0.8098,              0.0002437,              0.0002437,              0.0002437
                     71,                0.38455,                0.28974,                0.84981,                0.98417,                0.98747,                0.98344,                0.92912,                0.33064,                0.22553,                0.80772,             0.00023608,             0.00023608,             0.00023608
                     72,                 0.3797,                0.28108,                 0.8458,                0.98369,                0.98959,                0.98515,                0.93615,                0.32268,                0.21375,                0.80821,             0.00022847,             0.00022847,             0.00022847
                     73,                0.37795,                0.28098,                0.84631,                0.98402,                0.98752,                0.98541,                0.93089,                 0.3324,                0.22368,                0.81097,             0.00022086,             0.00022086,             0.00022086
                     74,                0.38041,                0.28287,                0.84499,                0.98449,                0.98816,                0.98435,                0.93456,                0.32897,                0.21719,                 0.8078,             0.00021324,             0.00021324,             0.00021324
                     75,                0.38202,                0.27792,                0.85174,                0.98493,                0.98613,                0.98527,                0.93388,                0.32341,                0.21706,                0.80724,             0.00020563,             0.00020563,             0.00020563
                     76,                0.36906,                 0.2738,                0.84641,                0.98553,                0.98707,                0.98544,                0.93187,                0.32724,                0.22584,                0.80681,             0.00019802,             0.00019802,             0.00019802
                     77,                0.36794,                0.27795,                0.84667,                 0.9858,                0.98984,                0.98564,                0.93484,                0.33111,                0.22129,                0.80999,              0.0001904,              0.0001904,              0.0001904
                     78,                0.37079,                0.27427,                0.84916,                0.98582,                0.98728,                0.98491,                0.93344,                0.32755,                0.21883,                0.80878,             0.00018279,             0.00018279,             0.00018279
                     79,                0.36707,                0.27574,                0.84407,                0.98538,                0.98721,                0.98544,                0.93902,                0.32616,                0.21723,                0.80612,             0.00017518,             0.00017518,             0.00017518
                     80,                0.36525,                0.26214,                0.84133,                0.98539,                0.98687,                0.98578,                0.93536,                0.32627,                0.21848,                0.80683,             0.00016757,             0.00016757,             0.00016757
                     81,                0.36208,                0.27784,                0.84633,                0.98281,                0.98997,                 0.9858,                0.93394,                0.32471,                0.21748,                0.80604,             0.00015995,             0.00015995,             0.00015995
                     82,                 0.3595,                0.26197,                0.84281,                0.98356,                0.98819,                0.98577,                0.93756,                0.31879,                0.21147,                0.80311,             0.00015234,             0.00015234,             0.00015234
                     83,                0.35835,                0.26125,                0.83578,                0.98291,                0.98936,                0.98588,                0.93554,                0.32385,                0.21798,                0.80539,             0.00014473,             0.00014473,             0.00014473
                     84,                0.36427,                0.26486,                0.84376,                 0.9851,                0.98793,                0.98609,                0.93829,                0.32361,                0.21428,                0.80521,             0.00013711,             0.00013711,             0.00013711
                     85,                0.35446,                0.25713,                0.84072,                0.98543,                0.98772,                0.98568,                 0.9364,                0.32362,                0.21566,                  0.806,              0.0001295,              0.0001295,              0.0001295
                     86,                0.35211,                0.25569,                0.83868,                0.98457,                0.99066,                0.98588,                0.93754,                0.31871,                0.20757,                0.80391,             0.00012189,             0.00012189,             0.00012189
                     87,                0.34406,                0.25593,                 0.8364,                 0.9847,                   0.99,                0.98596,                0.93797,                0.31811,                0.21071,                0.80408,             0.00011427,             0.00011427,             0.00011427
                     88,                0.35463,                 0.2608,                0.84441,                 0.9855,                0.98893,                0.98557,                0.93798,                0.31668,                0.20688,                0.80341,             0.00010666,             0.00010666,             0.00010666
                     89,                0.35177,                0.25798,                 0.8444,                0.98566,                0.99059,                0.98577,                0.93762,                0.31687,                0.20612,                0.80293,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     90,                0.34336,                0.25449,                0.83734,                0.98514,                0.98893,                0.98562,                0.93899,                0.31489,                0.21007,                0.80267,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     91,                 0.2933,                0.20764,                 0.8072,                0.98347,                0.99008,                0.98559,                0.93792,                0.31847,                0.20828,                 0.8044,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     92,                 0.2884,                0.20397,                0.80647,                0.98426,                0.98934,                0.98598,                0.93911,                0.31505,                0.20639,                0.80262,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     93,                 0.2829,                0.20358,                  0.802,                 0.9846,                0.98929,                0.98554,                0.94149,                0.31838,                0.20803,                0.80349,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     94,                0.28271,                0.19926,                0.80719,                0.98466,                0.98778,                0.98547,                0.94136,                0.31397,                0.20568,                0.80288,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     95,                0.28032,                0.19563,                0.80196,                0.98481,                0.98848,                0.98541,                0.93814,                0.31133,                 0.2034,                0.80268,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     96,                0.27914,                0.19629,                 0.8011,                0.98477,                0.99034,                0.98556,                0.94071,                0.31313,                0.20071,                 0.8015,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     97,                0.27709,                0.19624,                0.80103,                0.98503,                0.98939,                0.98556,                0.94067,                0.31307,                 0.2019,                0.80171,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     98,                0.27738,                0.19229,                0.79896,                0.98511,                0.99014,                0.98541,                0.94233,                0.31139,                0.20243,                0.80178,             3.0529e-05,             3.0529e-05,             3.0529e-05
                     99,                0.27108,                0.19126,                0.80215,                0.98483,                0.99078,                0.98556,                0.94226,                0.31092,                0.20035,                0.80144,             2.2916e-05,             2.2916e-05,             2.2916e-05
                    100,                0.26846,                0.18788,                0.79862,                0.98351,                0.99022,                0.98564,                0.94206,                0.30881,                0.20002,                0.80154,             1.5303e-05,             1.5303e-05,             1.5303e-05
